pos,desc_lis,img_lis,min,max_coll,voti,perc,area,ced,cod_naz,data_prec_elez,desc_naz,dt_agg,dt_ele,ele_f,ele_m,ele_t,f_elet,fine_rip,l_terr,naz_sto,perc_vot,ric,sk_bianche,sk_contestate,sk_nulle,st,sz_perv,sz_tot,t_ele,tot_vot_lis,vot_f,vot_m,vot_t
12,PARTITO DEMOCRATICO,1-20190526000000-12.png,N,NA,1263,"26,35",E,NULL,222,2.0140525e+13,AUSTRIA,20190527083758,2.0190526e+13,11139,13105,24244,SCRUTINI,N,NAZIONE,222,"20,32",NULL,17,0,116,ESERCIZIO,45,45,Europee,4794,2687,2240,4927
16,EUROPA VERDE,1-20190526000000-16.png,N,NA,1013,"21,13",E,NULL,222,2.0140525e+13,AUSTRIA,20190527083758,2.0190526e+13,11139,13105,24244,SCRUTINI,N,NAZIONE,222,"20,32",NULL,17,0,116,ESERCIZIO,45,45,Europee,4794,2687,2240,4927
1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,N,NA,582,"12,14",E,NULL,222,2.0140525e+13,AUSTRIA,20190527083758,2.0190526e+13,11139,13105,24244,SCRUTINI,N,NAZIONE,222,"20,32",NULL,17,0,116,ESERCIZIO,45,45,Europee,4794,2687,2240,4927
5,LEGA SALVINI PREMIER,1-20190526000000-5.png,N,NA,487,"10,16",E,NULL,222,2.0140525e+13,AUSTRIA,20190527083758,2.0190526e+13,11139,13105,24244,SCRUTINI,N,NAZIONE,222,"20,32",NULL,17,0,116,ESERCIZIO,45,45,Europee,4794,2687,2240,4927
8,MOVIMENTO 5 STELLE,1-20190526000000-8.png,N,NA,439,"9,16",E,NULL,222,2.0140525e+13,AUSTRIA,20190527083758,2.0190526e+13,11139,13105,24244,SCRUTINI,N,NAZIONE,222,"20,32",NULL,17,0,116,ESERCIZIO,45,45,Europee,4794,2687,2240,4927
15,SVP,1-20190526000000-15.png,S,11,439,"9,16",E,NULL,222,2.0140525e+13,AUSTRIA,20190527083758,2.0190526e+13,11139,13105,24244,SCRUTINI,N,NAZIONE,222,"20,32",NULL,17,0,116,ESERCIZIO,45,45,Europee,4794,2687,2240,4927
18,LA SINISTRA,1-20190526000000-18.png,N,NA,197,"4,11",E,NULL,222,2.0140525e+13,AUSTRIA,20190527083758,2.0190526e+13,11139,13105,24244,SCRUTINI,N,NAZIONE,222,"20,32",NULL,17,0,116,ESERCIZIO,45,45,Europee,4794,2687,2240,4927
11,FORZA ITALIA,1-20190526000000-11.png,N,NA,115,"2,40",E,NULL,222,2.0140525e+13,AUSTRIA,20190527083758,2.0190526e+13,11139,13105,24244,SCRUTINI,N,NAZIONE,222,"20,32",NULL,17,0,116,ESERCIZIO,45,45,Europee,4794,2687,2240,4927
7,FRATELLI D'ITALIA,1-20190526000000-7.png,N,NA,112,"2,34",E,NULL,222,2.0140525e+13,AUSTRIA,20190527083758,2.0190526e+13,11139,13105,24244,SCRUTINI,N,NAZIONE,222,"20,32",NULL,17,0,116,ESERCIZIO,45,45,Europee,4794,2687,2240,4927
2,PARTITO COMUNISTA,1-20190526000000-2.png,N,NA,32,"0,67",E,NULL,222,2.0140525e+13,AUSTRIA,20190527083758,2.0190526e+13,11139,13105,24244,SCRUTINI,N,NAZIONE,222,"20,32",NULL,17,0,116,ESERCIZIO,45,45,Europee,4794,2687,2240,4927
